Date,Holiday
2013-01-01,New Year's Day
2013-01-21,Martin Luther King Jr. Day
2013-02-18,Presidents Day
2013-03-29,Good Friday
2013-05-27,Memorial Day
2013-07-04,Independence Day
2013-09-02,Labor Day
2013-11-28,Thanksgiving Day
2013-12-25,Christmas Day
2014-01-01,New Year's Day
2014-01-20,Martin Luther King Jr. Day
2014-02-17,Presidents Day
2014-04-18,Good Friday
2014-05-26,Memorial Day
2014-07-04,Independence Day
2014-09-01,Labor Day
2014-11-27,Thanksgiving Day
2014-12-25,Christmas Day
2015-01-01,New Year's Day
2015-01-19,Martin Luther King Jr. Day
2015-02-16,Presidents Day
2015-04-03,Good Friday
2015-05-25,Memorial Day
2015-07-03,Independence Day (Observed)
2015-09-07,Labor Day
2015-11-26,Thanksgiving Day
2015-12-25,Christmas Day
2016-01-01,New Year's Day
2016-01-18,Martin Luther King Jr. Day
2016-02-15,Presidents Day
2016-03-25,Good Friday
2016-05-30,Memorial Day
2016-07-04,Independence Day
2016-09-05,Labor Day
2016-11-24,Thanksgiving Day
2016-12-26,Christmas Day (Observed)
2017-01-02,New Year's Day (Observed)
2017-01-16,Martin Luther King Jr. Day
2017-02-20,Presidents Day
2017-04-14,Good Friday
2017-05-29,Memorial Day
2017-07-04,Independence Day
2017-09-04,Labor Day
2017-11-23,Thanksgiving Day
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-01-15,Martin Luther King Jr. Day
2018-02-19,Presidents Day
2018-03-30,Good Friday
2018-05-28,Memorial Day
2018-07-04,Independence Day
2018-09-03,Labor Day
2018-11-22,Thanksgiving Day
2018-12-25,Christmas Day
2019-01-01,New Year's Day
2019-01-21,Martin Luther King Jr. Day
2019-02-18,Presidents Day
2019-04-19,Good Friday
2019-05-27,Memorial Day
2019-07-04,Independence Day
2019-09-02,Labor Day
2019-11-28,Thanksgiving Day
2019-12-25,Christmas Day
2020-01-01,New Year's Day
2020-01-20,Martin Luther King Jr. Day
2020-02-17,Presidents Day
2020-04-10,Good Friday
2020-05-25,Memorial Day
2020-07-03,Independence Day (Observed)
2020-09-07,Labor Day
2020-11-26,Thanksgiving Day
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-01-18,Martin Luther King Jr. Day
2021-02-15,Presidents Day
2021-04-02,Good Friday
2021-05-31,Memorial Day
2021-07-05,Independence Day (Observed)
2021-09-06,Labor Day
2021-11-25,Thanksgiving Day
2021-12-24,Christmas Day (Observed)
2022-01-17,Martin Luther King Jr. Day
2022-02-21,Presidents Day
2022-04-15,Good Friday
2022-05-30,Memorial Day
2022-07-04,Independence Day
2022-09-05,Labor Day
2022-11-24,Thanksgiving Day
2022-12-26,Christmas Day (Observed)
2023-01-02,New Year's Day (Observed)
2023-01-16,Martin Luther King Jr. Day
2023-02-20,Presidents Day
2023-04-07,Good Friday
2023-05-29,Memorial Day
2023-07-04,Independence Day
2023-09-04,Labor Day
2023-11-23,Thanksgiving Day
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-01-15,Martin Luther King Jr. Day
2024-02-19,Presidents Day
2024-03-29,Good Friday
2024-05-27,Memorial Day
2024-07-04,Independence Day
2024-09-02,Labor Day
2024-11-28,Thanksgiving Day
2024-12-25,Christmas Day
